,word,lang,len,vow,acc,accl,accr,die,cir,ñ,ç,ale,rus,pol,por,sue,esp,ita,fra,ger,cat,num_words,apos,hyph,rares,en_zipf,de_zipf,ca_zipf,es_zipf,fr_zipf,it_zipf,pl_zipf,pt_zipf,ru_zipf,sv_zipf
0,bon,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,3.75,5.66,3.64,5.93,3.97,3.85,3.79,3.17,3.7
1,dia,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,3.36,6.09,5.08,3.32,4.36,3.14,6.23,2.38,3.2
2,el,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56,4.49,7.43,7.45,4.76,4.86,4.69,4.93,3.78,4.97
3,meu,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,2.12,5.68,2.82,2.73,2.6,1.75,6.28,1.82,1.92
4,nom,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,3.36,5.62,3.42,5.59,3.3,3.51,3.34,2.45,3.08
5,es,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,6.94,6.82,7.02,5.74,4.63,3.95,4.54,3.3,3.7
6,julia,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12,4.37,3.65,4.24,3.95,3.93,4.39,4.28,2.65,4.4
7,i,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,5.54,7.47,5.36,5.34,6.94,7.42,5.5,5.38,7.38
8,tinc,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0.0,5.47,1.83,0.0,0.0,0.0,0.0,0.0,0.0
9,vint,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,1.65,4.81,2.11,3.74,1.91,0.0,1.68,0.0,1.91
10,anys,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,6.24,2.16,1.11,0.0,0.0,0.0,0.0,0.0
